35 4 168 63 233 147 167 12041 6824 214 255 6855 1323 10055 14035 499 288 495 223 626 11418 188 7931 12221 951 3567 12241 6188 13540 355 11194 839 1380 377 106 2485
35 16045 1 58 314 124 48 209 1323 84 183 904 190 1583 61 39 12784 817 643 121 301 328 13222 143 243 1092 5879 884 215 16497 459 7030 521 87 612 12918
35 50 37 402 365 392 60 151 20 604 18 55 498 12456 228 851 145 822 925 292 27 70 33 1398 137 808 9464 160 747 139 54 825 169 722 1372 97
35 12784 6824 379 12041 93 120 94 170 11711 12918 125 7126 488 53 161 461 72 5599 176 371 848 6430 5627 149 109 8356 7908 5622 10796 583 5581 160 7294 97 5979
35 42 307 418 4 352 460 406 63 76 1734 74 642 8330 540 785 533 359 377 737 275 317 659 167 1301 630 1217 243 2503 710 13410 233 288 574 1661 168
35 4 288 78 52 9103 187 307 442 495 9392 233 146 66 48 88 65 7806 6304 426 404 12 402 630 562 150 5676 175 8 220 330 218 47 109 1240 848
35 16045 6836 214 170 12273 15073 895 7230 15358 12244 1591 98 4 109 1011 691 233 1044 15832 486 232 1304 8158 126 11838 670 7030 1345 6541 8831 11588 2776 134 12748 15633
35 1 318 27 139 292 747 146 133 929 415 428 20 7135 457 406 752 182 391 81 417 686 561 18 915 6824 169 61 125 2104 188 759 16318 983 666 71
35 16045 187 215 519 307 6294 109 170 228 78 2298 51 15677 204 141 3936 11217 1865 415 10183 1185 252 375 14607 418 501 5895 161 58 8349 499 8045 11706 495 42
35 7625 216 14113 1024 24 16045 6270 411 321 612 70 16493 228 576 9218 14607 79 6854 131 161 451 2790 423 1300 256 742 1731 14325 14716 165 42 1343 3126 306 984
35 6541 8299 183 12997 131 58 7755 151 11273 10296 995 102 55 386 9103 1021 1108 312 124 8160 12784 61 13640 12575 14732 9164 4 7633 64 5787 6304 11467 591 9820 9893
35 78 79 16045 16318 6167 10509 252 14758 6495 16700 734 146 14502 223 11213 7904 49 14673 204 10605 115 12660 16155 15288 9133 10061 9760 6237 16115 11515 191 537 15237 6458 7424
35 16045 144 6855 683 12575 200 12784 233 7294 12918 175 14501 6257 513 81 382 521 14502 1056 170 5599 163 84 10349 330 13155 6495 266 632 1673 502 6294 15 227 307
35 348 648 10363 465 272 193 12 537 6227 215 134 737 83 7267 176 5581 15094 806 229 822 11586 16260 93 14056 672 7787 2413 4686 9210 376 14608 895 6855 1603 1321
35 7545 4 7030 233 6836 15073 14276 170 14716 10605 9966 15263 74 1976 1799 1185 7230 2446 134 877 10249 11838 538 14988 8237 355 2635 1304 16493 9164 1063 14720 214 15584 16156
35 7147 165 314 524 74 4 13949 223 355 10316 247 495 129 7625 522 227 13883 839 144 35 249 10084 6824 1957 737 3801 2102 11156 350 814 7126 9103 325 214 9004
35 1 7 173 174 6 242 169 98 984 27 322 86 350 336 774 9 341 85 15118 19 135 942 691 99 388 622 21 796 6433 13883 15895 282 172 13972 2947
