 u 0 - p 0.0  ::    0.0  /  10  :::: 
 u 1 - p 0.0  ::    0.0  /  10  :::: 
 u 2 - p 0.0  ::    0.0  /  10  :::: 
 u 3 - p 0.0  ::    0.0  /  10  :::: 
 u 4 - p 0.0  ::    0.0  /  10  :::: 
 u 5 - p 0.0  ::    0.0  /  10  :::: 
 u 6 - p 0.0  ::    0.0  /  10  :::: 
 u 7 - p 0.2  ::    2.0  /  10  ::::  120 17
 u 8 - p 0.0  ::    0.0  /  10  :::: 
 u 9 - p 0.0  ::    0.0  /  10  :::: 
 u 10 - p 0.1  ::    1.0  /  10  ::::  684
 u 11 - p 0.0  ::    0.0  /  10  :::: 
 u 12 - p 0.1  ::    1.0  /  10  ::::  205
 u 13 - p 0.1  ::    1.0  /  10  ::::  418
 u 14 - p 0.0  ::    0.0  /  10  :::: 
 u 15 - p 0.0  ::    0.0  /  10  :::: 
 u 16 - p 0.1  ::    1.0  /  10  ::::  68
 u 17 - p 0.1  ::    1.0  /  10  ::::  15
 u 18 - p 0.0  ::    0.0  /  10  :::: 
 u 19 - p 0.1  ::    1.0  /  10  ::::  767
 u 20 - p 0.1  ::    1.0  /  10  ::::  68
 u 21 - p 0.1  ::    1.0  /  10  ::::  50
 u 22 - p 0.0  ::    0.0  /  10  :::: 
 u 23 - p 0.0  ::    0.0  /  10  :::: 
 u 24 - p 0.0  ::    0.0  /  10  :::: 
 u 25 - p 0.1  ::    1.0  /  10  ::::  68
 u 26 - p 0.0  ::    0.0  /  10  :::: 
 u 27 - p 0.0  ::    0.0  /  10  :::: 
 u 28 - p 0.0  ::    0.0  /  10  :::: 
 u 29 - p 0.1  ::    1.0  /  10  ::::  7049
 u 30 - p 0.2  ::    2.0  /  10  ::::  16 17
 u 31 - p 0.0  ::    0.0  /  10  :::: 
 u 32 - p 0.0  ::    0.0  /  10  :::: 
 u 33 - p 0.2  ::    2.0  /  10  ::::  250 687
 u 34 - p 0.1  ::    1.0  /  10  ::::  525
 u 35 - p 0.0  ::    0.0  /  10  :::: 
 u 36 - p 0.0  ::    0.0  /  10  :::: 
 u 37 - p 0.1  ::    1.0  /  10  ::::  50
 u 38 - p 0.0  ::    0.0  /  10  :::: 
 u 39 - p 0.0  ::    0.0  /  10  :::: 
 u 40 - p 0.0  ::    0.0  /  10  :::: 
 u 41 - p 0.1  ::    1.0  /  10  ::::  3088
 u 42 - p 0.0  ::    0.0  /  10  :::: 
 u 43 - p 0.0  ::    0.0  /  10  :::: 
 u 44 - p 0.1  ::    1.0  /  10  ::::  767
 u 45 - p 0.0  ::    0.0  /  10  :::: 
 u 46 - p 0.0  ::    0.0  /  10  :::: 
 u 47 - p 0.1  ::    1.0  /  10  ::::  3
 u 48 - p 0.0  ::    0.0  /  10  :::: 
 u 49 - p 0.0  ::    0.0  /  10  :::: 
 u 50 - p 0.0  ::    0.0  /  10  :::: 
