8101 8:1.0 79:1.0 455:1.0 589:1.0 718:1.0 756:1.0 799:1.0 852:1.0 1044:1.0 1061:1.0 1196:1.0 1236:1.0 1267:1.0 1497:1.0 1598:1.0 1685:1.0 1769:1.0 1772:1.0 1887:1.0 1933:1.0 2093:1.0 2131:1.0 2179:1.0 2309:1.0 2335:1.0
8101 0:0.0 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.0
8101 581:1.0 5714:1.0 1840:1.0 3770:0.999999999999 3182:0.999999988718 1719:0.999999617199 7628:0.999997845946 3620:0.968221651505 3449:0.865633981729 7771:0.0644740930035 3325:0.0498317094337 1671:0.0342801610778 7692:0.0145682599628 0:0.0 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0
8101 5219:0.999914903586 4768:0.999688198808 3572:0.995777441924 1612:0.993412643413 7197:0.973885820144 5099:0.94545786239 7465:0.628926464309 6357:0.618104489249 3037:0.126346115816 1649:0.0202625192729 0:0.0 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0
8101 2960:1.0 3177:1.0 778:0.999999999944 3421:0.999999995517 6642:0.999999991648 286:0.999994357088 7400:0.999959428356 1633:0.999118268455 3719:0.674667307074 0:0.0 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0
8101 123:1.0 158:1.0 208:1.0 266:1.0 419:1.0 618:1.0 889:1.0 894:1.0 1106:1.0 1120:1.0 1310:1.0 1409:1.0 1587:1.0 1784:1.0 1898:1.0 1963:1.0 2122:1.0 2194:1.0 2455:1.0 2547:1.0 2684:1.0 2840:1.0 2994:1.0 3170:1.0 3180:1.0
8101 184:1.0 311:1.0 480:1.0 485:1.0 604:1.0 653:1.0 696:1.0 759:1.0 811:1.0 1194:1.0 1375:1.0 1417:1.0 1559:1.0 1651:1.0 1689:1.0 1815:1.0 1953:1.0 1957:1.0 1972:1.0 2052:1.0 2060:1.0 2088:1.0 2397:1.0 2486:1.0 2669:1.0
8101 554:1.0 1015:1.0 1132:1.0 1628:1.0 1838:1.0 2023:1.0 2060:1.0 2594:1.0 3326:1.0 4050:1.0 4173:1.0 4537:1.0 4545:1.0 4824:1.0 4848:1.0 5879:1.0 6427:1.0 6645:1.0 7043:1.0 2519:1.0 6050:1.0 3323:1.0 7481:1.0 7804:1.0 1042:1.0
8101 0:0.0 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.0
8101 0:0.0 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.0 7:0.0 8:0.0 9:0.0 10:0.0 11:0.0 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0 17:0.0 18:0.0 19:0.0 20:0.0 21:0.0 22:0.0 23:0.0 24:0.0
8101 11:1.0 367:1.0 536:1.0 703:1.0 869:1.0 895:1.0 1336:1.0 1409:1.0 1480:1.0 1512:1.0 1655:1.0 1949:1.0 2055:1.0 2086:1.0 2508:1.0 2697:1.0 2791:1.0 3037:1.0 3075:1.0 3513:1.0 3548:1.0 3995:1.0 4162:1.0 4236:1.0 4322:1.0
